41
38
H.macrophyllusRoxb   0 0 ? 0 0 0 2 1 0 0 0 1 1 0 1 1 0 0 1 0 0 1 0 2 0 1 0 1 0 0 0 1 2 1 1 1 1 1 
H.tiliaceusLinn.   0 0 1 ? 0 1 2 1 0 0 0 1 0 0 1 1 0 1 0 0 0 1 0 1 1 1 0 1 0 0 0 0 1 0 1 1 0 0 
H.ela_tusSw   0 0 1 0 0 1 2 1 0 1 0 1 0 0 1 1 0 0 0 0 0 1 0 2 1 1 0 0 0 1 0 1 1 1 1 1 0 0 
H.grewiifoliusHassk.   0 0 0 0 0 1 1 1 1 0 0 1 0 0 1 0 0 0 1 0 1 1 0 1 1 1 0 1 0 0 0 1 0 1 1 1 1 1 
H.austro_yunnanensis   0 1 1 0 0 0 2 1 0 0 0 1 1 1 1 1 0 0 0 0 1 1 2 1 0 1 0 1 0 2 0 0 1 1 1 1 1 2 
H.aridicolavar.aridicola   0 1 1 0 0 2 2 0 1 0 1 1 1 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1 0 2 0 0 1 1 1 1 1 1 
H.aridicolavar.glabratusFeng   0 1 1 0 0 0 2 0 1 0 1 1 1 0 1 0 0 0 0 0 1 0 1 1 0 1 0 1 0 2 0 0 1 1 1 1 1 1 
H.hamaboSiebe.tZucc   0 0 1 0 0 2 2 1 0 0 0 1 1 0 1 0 0 1 0 0 0 1 0 1 1 1 0 1 0 0 0 0 3 1 1 1 0 0 
H.schizopetalus   0 1 0 0 0 0 1 1 1 0 2 1 0 0 1 0 1 0 1 1 1 0 0 0 0 1 0 0 1 1 0 1 0 1 1 1 1 0 
H.rosa_sinensisvar.rosa_sinensis   0 1 0 0 0 0 1 0 1 0 0 1 1 0 1 0 1 0 0 1 1 0 0 1 0 1 0 1 0 3 0 1 0 0 1 1 1 0 
H.rosa_sinensisvar.rubro_plenusSweet   0 1 0 0 0 1 2 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 1 0 1 0 3 1 1 0 0 1 1 1 0 
H.paramutabilisvar.paramutabilis   0 1 1 1 2 0 2 1 1 0 0 1 1 0 1 0 0 0 0 0 0 1 2 2 0 1 0 1 1 2 0 1 3 1 1 1 1 2 
H.paramutabilisvar.longipedicellatusFeng   0 1 1 1 2 0 2 1 1 0 0 1 1 0 1 0 0 0 0 1 0 0 2 2 0 1 0 1 1 2 0 1 3 1 1 1 1 2 
H.indicusvar.indicus   0 1 1 1 2 0 2 1 1 0 1 1 1 0 1 0 0 0 0 1 1 0 2 2 0 1 0 1 0 3 0 1 2 1 1 1 1 1 
H.indicusvar.integrilobus   0 1 1 0 1 0 2 1 1 0 1 1 1 0 1 0 0 0 0 1 1 0 2 2 0 1 0 1 0 3 0 0 2 1 1 1 1 1 
H.taiwanensis.   0 1 1 1 2 0 2 1 1 0 0 1 1 0 1 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 0 3 1 1 1 1 2 
H.mutabilisLinn.   0 1 1 1 2 0 2 1 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 3 1 1 1 1 2 
H.vidalia_nusNavesexVidal   0 0 0 0 0 0 1 1 1 0 0 1 1 0 1 0 0 0 0 0 1 0 2 1 1 1 0 1 0 0 0 1 0 1 1 1 1 1 
H.labordeiLewl.   0 1 1 1 2 0 2 1 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 2 0 1 0 1 0 3 0 1 3 1 1 1 1 2 
H.syriacusvar.syriacus   0 1 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 1 0 1 0 1 0 1 0 0 0 1 1 1 1 2 
H.syriacusvar.lon_gibracteatussyhu   0 1 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 2 0 1 0 1 0 1 0 0 0 1 1 0 1 2 
